cn_title,en_title,rating,year
完美的世界,/ A Perfect World,9.1,1993
阳光灿烂的日子,,8.8,1994
小森林 夏秋篇,/ リトル・フォレスト 夏・秋,9.0,2014
天使爱美丽,/ Le Fabuleux destin d'Amélie Poulain,8.7,2001
驯龙高手,/ How to Train Your Dragon,8.8,2010
侧耳倾听,/ 耳をすませば,8.9,1995
头脑特工队,/ Inside Out,8.8,2015
新世界,/ 신세계,8.9,2013
怪兽电力公司,"/ Monsters, Inc.",8.8,2001
教父3,/ The Godfather: Part III,9.0,1990
傲慢与偏见,/ Pride & Prejudice,8.7,2005
一个叫欧维的男人决定去死,/ En man som heter Ove,8.9,2015
玩具总动员3,/ Toy Story 3,8.9,2010
幸福终点站,/ The Terminal,8.8,2004
小森林 冬春篇,/ リトル・フォレスト 冬・春,9.0,2015
色，戒,,8.7,2007
被解救的姜戈,/ Django Unchained,8.8,2012
釜山行,/ 부산행,8.6,2016
神偷奶爸,/ Despicable Me,8.7,2010
萤火之森,/ 蛍火の杜へ,8.8,2011
九品芝麻官,,8.7,1994
哪吒闹海,,9.2,1979
告白,,8.8,2010
喜宴,/ 囍宴,9.0,1993
玛丽和马克思,/ Mary and Max,9.0,2009
模仿游戏,/ The Imitation Game,8.8,2014
头号玩家,/ Ready Player One,8.6,2018
花样年华,/ 花樣年華,8.8,2000
大鱼,/ Big Fish,8.8,2003
七武士,/ 七人の侍,9.3,1954
射雕英雄传之东成西就,/ 射鵰英雄傳之東成西就,8.7,1993
惊魂记,/ Psycho,9.0,1960
血战钢锯岭,/ Hacksaw Ridge,8.7,2016
我是山姆,/ I Am Sam,9.0,2001
阳光姐妹淘,/ 써니,8.8,2011
恐怖直播,/ 더 테러 라이브,8.7,2013
你的名字。,/ 君の名は。,8.5,2016
黑客帝国3：矩阵革命,/ The Matrix Revolutions,8.8,2003
三块广告牌,"/ Three Billboards Outside Ebbing, Missouri",8.7,2017
心迷宫,,8.8,2014
电锯惊魂,/ Saw,8.7,2004
小丑,/ Joker,8.7,2019
达拉斯买家俱乐部,/ Dallas Buyers Club,8.8,2013
背靠背，脸对脸,,9.5,1994
心灵奇旅,/ Soul,8.7,2020
疯狂原始人,/ The Croods,8.7,2013
谍影重重3,/ The Bourne Ultimatum,8.8,2007
绿里奇迹,/ The Green Mile,8.9,1999
上帝之城,/ Cidade de Deus,9.0,2002
海街日记,/ 海街diary,8.8,2015
爱在午夜降临前,/ Before Midnight,8.9,2013
