title,rating,year,genre,director
12th Fail,8.8,,"B|i|o|g|r|a|p|h|y|,| |D|r|a|m|a",
Avengers: Infinity War,8.4,,"A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |S|c|i|-|F|i",
Sunset Blvd.,8.4,,"D|r|a|m|a|,| |F|i|l|m|-|N|o|i|r",
Spider-Man: Into the Spider-Verse,8.4,,"A|n|i|m|a|t|i|o|n|,| |A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e",
Paths of Glory,8.4,,"D|r|a|m|a|,| |W|a|r",
Witness for the Prosecution,8.4,,"C|r|i|m|e|,| |D|r|a|m|a|,| |M|y|s|t|e|r|y",
The Shining,8.4,,"D|r|a|m|a|,| |H|o|r|r|o|r",
The Great Dictator,8.4,,"C|o|m|e|d|y|,| |D|r|a|m|a|,| |W|a|r",
Aliens,8.4,,"A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |S|c|i|-|F|i",
Inglourious Basterds,8.4,,"A|d|v|e|n|t|u|r|e|,| |D|r|a|m|a|,| |W|a|r",
The Dark Knight Rises,8.4,,"A|c|t|i|o|n|,| |D|r|a|m|a|,| |T|h|r|i|l|l|e|r",
Coco,8.4,,"A|n|i|m|a|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |D|r|a|m|a",
Amadeus,8.4,,"B|i|o|g|r|a|p|h|y|,| |D|r|a|m|a|,| |M|u|s|i|c",
Toy Story,8.3,,"A|n|i|m|a|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |C|o|m|e|d|y",
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,,"C|o|m|e|d|y|,| |W|a|r",
Oldeuboi,8.3,,"A|c|t|i|o|n|,| |D|r|a|m|a|,| |M|y|s|t|e|r|y",
Avengers: Endgame,8.4,,"A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |D|r|a|m|a",
American Beauty,8.3,,D|r|a|m|a,
Good Will Hunting,8.3,,"D|r|a|m|a|,| |R|o|m|a|n|c|e",
Das Boot,8.4,,"D|r|a|m|a|,| |W|a|r",
Braveheart,8.3,,"B|i|o|g|r|a|p|h|y|,| |D|r|a|m|a|,| |W|a|r",
Mononoke-hime,8.3,,"A|n|i|m|a|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |F|a|n|t|a|s|y",
Kimi no na wa.,8.4,,"A|n|i|m|a|t|i|o|n|,| |D|r|a|m|a|,| |F|a|n|t|a|s|y",
Tengoku to jigoku,8.4,,"C|r|i|m|e|,| |D|r|a|m|a|,| |M|y|s|t|e|r|y",
Joker,8.4,,"C|r|i|m|e|,| |D|r|a|m|a|,| |T|h|r|i|l|l|e|r",
3 Idiots,8.4,,"C|o|m|e|d|y|,| |D|r|a|m|a",
Once Upon a Time in America,8.3,,"C|r|i|m|e|,| |D|r|a|m|a",
Singin&apos; in the Rain,8.3,,"C|o|m|e|d|y|,| |M|u|s|i|c|a|l|,| |R|o|m|a|n|c|e",
Capharnaüm,8.4,,D|r|a|m|a,
Idi i smotri,8.3,,"D|r|a|m|a|,| |T|h|r|i|l|l|e|r|,| |W|a|r",
Requiem for a Dream,8.3,,D|r|a|m|a,
Toy Story 3,8.3,,"A|n|i|m|a|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |C|o|m|e|d|y",
Star Wars: Episode VI - Return of the Jedi,8.3,,"A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |F|a|n|t|a|s|y",
Jagten,8.3,,D|r|a|m|a,
Eternal Sunshine of the Spotless Mind,8.3,,"D|r|a|m|a|,| |R|o|m|a|n|c|e|,| |S|c|i|-|F|i",
Ikiru,8.3,,D|r|a|m|a,
2001: A Space Odyssey,8.3,,"A|d|v|e|n|t|u|r|e|,| |S|c|i|-|F|i",
Reservoir Dogs,8.3,,"C|r|i|m|e|,| |T|h|r|i|l|l|e|r",
Lawrence of Arabia,8.3,,"A|d|v|e|n|t|u|r|e|,| |B|i|o|g|r|a|p|h|y|,| |D|r|a|m|a",
The Apartment,8.3,,"C|o|m|e|d|y|,| |D|r|a|m|a|,| |R|o|m|a|n|c|e",
Incendies,8.3,,"D|r|a|m|a|,| |M|y|s|t|e|r|y|,| |W|a|r",
Scarface,8.3,,"C|r|i|m|e|,| |D|r|a|m|a",
North by Northwest,8.3,,"A|d|v|e|n|t|u|r|e|,| |D|r|a|m|a|,| |M|y|s|t|e|r|y",
Double Indemnity,8.3,,"C|r|i|m|e|,| |D|r|a|m|a|,| |F|i|l|m|-|N|o|i|r",
Citizen Kane,8.3,,"D|r|a|m|a|,| |M|y|s|t|e|r|y",
M - Eine Stadt sucht einen Mörder,8.3,,"C|r|i|m|e|,| |M|y|s|t|e|r|y|,| |T|h|r|i|l|l|e|r",
Heat,8.3,,"A|c|t|i|o|n|,| |C|r|i|m|e|,| |D|r|a|m|a",
Vertigo,8.3,,"M|y|s|t|e|r|y|,| |R|o|m|a|n|c|e|,| |T|h|r|i|l|l|e|r",
Full Metal Jacket,8.2,,"D|r|a|m|a|,| |W|a|r",
Up,8.3,,"A|n|i|m|a|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |C|o|m|e|d|y",
Oppenheimer,8.3,,"B|i|o|g|r|a|p|h|y|,| |D|r|a|m|a|,| |H|i|s|t|o|r|y",
Le fabuleux destin d&apos;Amélie Poulain,8.3,,"C|o|m|e|d|y|,| |R|o|m|a|n|c|e",
A Clockwork Orange,8.2,,"C|r|i|m|e|,| |S|c|i|-|F|i",
To Kill a Mockingbird,8.3,,"C|r|i|m|e|,| |D|r|a|m|a",
Jodaeiye Nader az Simin,8.3,,D|r|a|m|a,
The Sting,8.3,,"C|o|m|e|d|y|,| |C|r|i|m|e|,| |D|r|a|m|a",
Die Hard,8.2,,"A|c|t|i|o|n|,| |T|h|r|i|l|l|e|r",
Taare Zameen Par,8.3,,"D|r|a|m|a|,| |F|a|m|i|l|y",
Indiana Jones and the Last Crusade,8.2,,"A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e",
Metropolis,8.3,,"D|r|a|m|a|,| |S|c|i|-|F|i",
Snatch,8.2,,"C|o|m|e|d|y|,| |C|r|i|m|e",
1917,8.2,,"A|c|t|i|o|n|,| |D|r|a|m|a|,| |W|a|r",
L.A. Confidential,8.2,,"C|r|i|m|e|,| |D|r|a|m|a|,| |M|y|s|t|e|r|y",
Ladri di biciclette,8.3,,D|r|a|m|a,
Der Untergang,8.2,,"B|i|o|g|r|a|p|h|y|,| |D|r|a|m|a|,| |H|i|s|t|o|r|y",
Taxi Driver,8.2,,"C|r|i|m|e|,| |D|r|a|m|a",
